ผม ชอบ กิน	I like eating.	ผม (I) / ชอบ (like) / กิน (eat)
ฉัน ทราบ แล้ว	I know already.	ฉัน (I) / ทราบ (know) / แล้ว (already)
คุณ สวย มาก	You are very beautiful.	คุณ (you) / สวย (beautiful) / มาก (very)
ฉัน มี เพื่อน	I have friends.	ฉัน (I) / มี (have) / เพื่อน (friend)
ฉัน ขับ รถ	I drive a car.	ฉัน (I) / ขับ (drive) / รถ (car)
แมว สีดำ	Black cat.	แมว (cat) / สี (color) / ดำ (black)
ฉัน อยู่ บ้าน	I am at home.	ฉัน (I) / อยู่ (am) / บ้าน (home)
ช้าง ใหญ่ มาก	The elephant is very big.	ช้าง (elephant) / ใหญ่ (big) / มาก (very much)
ดื่ม น้ำ ผลไม้	Drink fruit juice.	ดื่ม (drink) / น้ำ (water) / ผลไม้ (fruit)
ไป กับ เพื่อน	Go with friends.	ไป (go) / กับ (with) / เพื่อน (friend)
ตัว ใหญ่	Big.	ตัว (body) / ใหญ่ (big)
ถึง เวลา แล้ว	It's time.	ถึง (to/arrive) / เวลา (time) / แล้ว (already).
บ้าน ที่ สวย	Beautiful house.	บ้าน (house) / ที่ (that) / สวย (beautiful)
ฉัน โทรศัพท์ หาเขา	I called him.	ฉัน (I) / โทรศัพท์ (call) / หา (to) / เขา (him)
ฉัน อยู่ ใน บ้าน	I am in the house.	ฉัน (I) / อยู่ (am) / ใน (in) / บ้าน (home)
หลัง บ้าน	Behind the house.	หลัง (behind) / บ้าน (house)
บ้าน ใกล้ โรงเรียน	The house is near the school.	บ้าน (house) / ใกล้ (near) / โรงเรียน (school)
ใคร อยู่ ที่นี่	Who is here?	ใคร (who) / อยู่ (is) / ที่นี่ (here)
ฉัน ทำงาน	I work.	ฉัน (I) / ทำงาน (work)
เงิน มาก มาก	A lot of money.	เงิน (money) / มาก (very) / มาก (very)
ชื่อ ฉัน คือ	My name is.	ชื่อ (name) / ฉัน (I) / คือ (am)
ฉัน ได้ ขนม	I got snacks.	ฉัน (I) / ได้ (got) / ขนม (snack)
แมว นอน ใต้ โต๊ะ	The cat sleeps under the table.	แมว (cat) / นอน (sleeps) / ใต้ (under) / โต๊ะ (table)
ราคา ถูก มาก	Very cheap.	ราคา (price) / ถูก (cheap) / มาก (very)
เที่ยง วัน นี้	This noon.	เที่ยง (noon) / วัน (day) / นี้ (this)
ปู่ สอน การ เล่น	Grandpa teaches playing.	ปู่ (grandfather) / สอน (teach) / การ (the) / เล่น (play)
ฉัน มีด ใหญ่	I have a big knife.	ฉัน (I) / มีด (knife) / ใหญ่ (big)
ล้าง มือ ทันที	Wash your hands immediately.	ล้าง (wash) / มือ (hands) / ทันที (immediately)
รถ สีแดง สวย	Red car is beautiful.	รถ (car) / สีแดง (red) / สวย (beautiful)
หนาว มาก ครับ	Very cold.	หนาว (cold) / มาก (very) / ครับ (polite particle)
ซื้อ ของ ใหม่	Buy new things.	ซื้อ (buy) / ของ (of) / ใหม่ (new)
กลับ บ้าน เดี๋ยวนี้	Go home now.	กลับ (return) / บ้าน (home) / เดี๋ยวนี้ (now)
ไป ก่อน เดี๋ยวนี้	Go now.	ไป (go) / ก่อน (before) / เดี๋ยวนี้ (now)
ฉัน ใส่ กางเกง	I wear pants.	ฉัน (I) / ใส่ (wear) / กางเกง (pants)
ฉัน กิน ข้าว	I eat rice.	ฉัน (I) / กิน (eat) / ข้าว (rice)
บ้าน เก่า มาก	The house is very old.	บ้าน (house) / เก่า (old) / มาก (very)
บ้าน ไกล มาก	The house is very far.	บ้าน (house) / ไกล (far) / มาก (very)
ฉัน ชอบ ของ	I like things.	ฉัน (I) / ชอบ (like) / ของ (things)
บ้าน ข้างๆ ฉัน	The house next to me.	บ้าน (house) / ข้างๆ (next to) / ฉัน (I)
ฉัน ขาย ผลไม้	I sell fruit.	ฉัน (I) / ขาย (sell) / ผลไม้ (fruit)
รถ ขึ้น ลิฟต์	The car goes up the lift.	รถ (car) / ขึ้น (ascend) / ลิฟต์ (elevator)
ฉัน เข้าใจ แล้ว	I understand now.	ฉัน (I) / เข้าใจ (understand) / แล้ว (already)
สวัสดี ค่ะ	Hello.	สวัสดี (hello) / ค่ะ (polite particle)
เรียน ภาษา ง่าย	Learn language easily.	เรียน (learn) / ภาษา (language) / ง่าย (easy)
มา จาก ไหน	Where are you from?	มา (come) / จาก (from) / ไหน (where)
ฉัน จ่าย เงิน	I paid money.	ฉัน (I) / จ่าย (pay) / เงิน (money)
ฉัน ชอบ หนัง	I like movies.	ฉัน (I) / ชอบ (like) / หนัง (movie)
เช้า ดี มาก	Very good morning.	เช้า (morning) / ดี (good) / มาก (very)
ฉัน ซื้อ แอปเปิ้ล	I buy apples.	ฉัน (I) / ซื้อ (buy) / แอปเปิ้ล (apple)
ดู หนัง สนุก	Watch an enjoyable movie.	ดู (watch) / หนัง (movie) / สนุก (fun)
เด็ก อยู่ ที่ โรงเรียน	The child is at school.	เด็ก (child) / อยู่ (is) / ที่ (at) / โรงเรียน (school)
ฉัน เดิน ไป โรงเรียน	I walk to school.	ฉัน (I) / เดิน (walk) / ไป (to) / โรงเรียน (school)
วันนี้ เป็น เดือน กันยายน	Today is September.	วันนี้ (today) / เป็น (is) / เดือน (month) / กันยายน (September)
ไป ทาง ตรงนี้	Go this way.	ไป (go) / ทาง (way) / ตรงนี้ (here)
ฉัน ไป ตลาด	I go to the market.	ฉัน (I) / ไป (go) / ตลาด (market)
ฉัน อยาก ไป แต่ ไม่ได้	I want to go but I can't.	ฉัน (I) / อยาก (want) / ไป (go) / แต่ (but) / ไม่ได้ (cannot)
รถ แล่น อยู่ บน ถนน	The car is driving on the road.	รถ (car) / แล่น (running) / อยู่ (is) / บน (on) / ถนน (road)
เรา จะ ไป ทาง ไหน	Which way will we go?	เรา (we) / จะ (will) / ไป (go) / ทาง (way) / ไหน (which)
ฉัน จะ ทาน ข้าว	I will eat.	ฉัน (I) / จะ (will) / ทาน (eat) / ข้าว (rice)
ฉัน ทำ อาหาร นี่	I cooked this food.	ฉัน (I) / ทำ (make) / อาหาร (food) / นี่ (this)
ฉัน ทำงาน ทุกวัน	I work every day.	ฉัน (I) / ทำงาน (work) / ทุกวัน (every day)
ทำไม คุณ ไม่ มา	Why didn't you come?	ทำไม (why) / คุณ (you) / ไม่ (not) / มา (come)
ฉัน ดื่ม นม ทุกวัน	I drink milk every day.	ฉัน (I) / ดื่ม (drink) / นม (milk) / ทุกวัน (every day)
ฉัน ชอบ กิน เนื้อ	I like to eat meat.	ฉัน (I) / ชอบ (like) / กิน (eat) / เนื้อ (meat)
ประเทศไทย มี วัฒนธรรม ที่หลากหลาย	Thailand has a diverse culture.	ประเทศไทย (Thailand) / มี (has) / วัฒนธรรม (culture) / ที่ (that) / หลากหลาย (diverse)
อีก ประมาณ ห้านาที	In about five minutes.	อีก (another) / ประมาณ (approximately) / ห้า (five) / นาที (minutes)
ฉัน เรียน ไทย ปี	I study Thai.	ฉัน (I) / เรียน (study) / ไทย (Thai) / ปี (year)
ฉัน จะ ไป โรงเรียน	I will go to school.	ฉัน (I) / จะ (will) / ไป (go) / โรงเรียน (school)
ผู้ชาย ชอบ กิน ข้าว	Men like eating rice.	ผู้ชาย (man) / ชอบ (likes) / กิน (eat) / ข้าว (rice)
ฉัน พบ เพื่อนใหม่	I met a new friend.	ฉัน (I) / พบ (meet) / เพื่อนใหม่ (new friends)
เขา พูด ภาษาไทย 	He speaks Thai.	เขา (he) / พูด (speak) / ภาษาไทย (Thai)
ฉัน มี เพื่อน ใหม่	I have a new friend.	ฉัน (I) / มี (have) / เพื่อน (friend) / ใหม่ (new)
อาหาร นี้ แพง มาก	This food is very expensive.	อาหาร (food) / นี้ (this) / แพง (expensive) / มาก (very)
ฉัน ชอบ ฟัง เพลง	I like listening to music.	ฉัน (I) / ชอบ (like) / ฟัง (listen) / เพลง (music)
เด็ก ฟัน น้ำนม หลุด	The child's baby tooth came out.	เด็ก (child) / ฟัน (tooth) / น้ำนม (milk) / หลุด (fall out)
มือ ของ ฉัน สกปรก	My hands are dirty.	มือ (hand) / ของ (of) / ฉัน (my) / สกปรก (dirty)
อากาศ ตอนเย็น เย็น	The weather in the evening is cool.	อากาศ (weather) / ตอนเย็น (evening) / เย็น (cool)
อากาศ วันนี้ ร้อน มาก	The weather is very hot today.	อากาศ (weather) / วันนี้ (today) / ร้อน (hot) / มาก (very)
รับ อาหาร ที่ ร้าน	Pick up food at the shop.	รับ (receive) / อาหาร (food) / ที่ (at) / ร้าน (shop)
ฉัน รู้ ความจริง	I know the truth.	ฉัน (I) / รู้ (know) / ความจริง (truth)
ฉัน เรียน ภาษาไทย	I study Thai language.	ฉัน (I) / เรียน (learn) / ภาษาไทย (Thai language)
เรื่อง นี้ น่าสนใจ	This story is interesting.	เรื่อง (story) / นี้ (this) / น่า (interesting) / สนใจ (interest)
ฉัน ไป โรงพยาบาล	I go to the hospital.	ฉัน (I) / ไป (go) / โรงพยาบาล (hospital)
แม่ กับ ลูก เล่น	Mother and child play.	แม่ (mother) / กับ (with) / ลูก (child) / เล่น (play)
ฉัน เลือก หนังสือ	I choose the book.	ฉัน (I) / เลือก (choose) / หนังสือ (book)
เวลา เริ่ม ต้น แล้ว	Time has started.	เวลา (time) / เริ่ม (begin) / ต้น (initial) / แล้ว (already)
ส่ง เอกสาร ไป เลย	Send the document over now.	ส่ง (send) / เอกสาร (document) / ไป (go) / เลย (right away)
วันนี้ ฉัน มาสาย	Today, I am late.	วันนี้ (today) / ฉัน (I) / มาสาย (am late)
เขา สูง มาก	He is very tall.	เขา (He/She) / สูง (Tall) / มาก (Very)
เสือ วิ่ง ใน ป่า	The tiger runs in the forest.	เสือ (tiger) / วิ่ง (run) / ใน (in) / ป่า (forest)
กระเป๋า นี้ หนัก มาก	This bag is very heavy.	กระเป๋า (bag) / นี้ (this) / หนัก (heavy) / มาก (very)
ฉัน ชอบ ดู หนัง	I like watching movies.	ฉัน (I) / ชอบ (like) / ดู (watch) / หนัง (movie)
หน้า โรงเรียน สะอาด	The front of the school is clean.	หน้า (in front of) / โรงเรียน (school) / สะอาด (clean)
ฉัน กิน หมู ย่าง	I eat grilled pork.	ฉัน (I) / กิน (eat) / หมู (pork) / ย่าง (grilled)
แม่ ให้ ของขวัญ	Mom gives a gift.	แม่ (mother) / ให้ (gives) / ของขวัญ (gift)
ทำ อย่างไร ดี	What should I do?	ทำ (do) / อย่างไร (how) / ดี (well)
นี่ คือ อะไร	What is this?	นี่ (this) / คือ (is) / อะไร (what)
